	user_id	signup_date	country	age	signup_channel
1	U0001	2024-06-12	DE	45	referral
2	U0002	2024-05-16	CA	30	ads
3	U0003	2024-11-01	AU	29	organic
4	U0004	2024-11-01	BR	23	ads
5	U0005	2024-07-05	IN	35	organic
6	U0006	2024-02-22	FR	43	organic
7	U0007	2024-05-30	JP	55	referral
8	U0008	2024-05-28	UK	58	referral
9	U0009	2024-12-08	JP	44	social
10	U0010	2024-12-25	IN	62	organic
11	U0011	2024-02-17	FR	29	referral
12	U0012	2024-07-27	JP	52	organic
13	U0013	2024-12-01	IN	25	organic
14	U0014	2024-02-21	FR	58	organic
15	U0015	2024-05-03	UK	51	ads
16	U0016	2024-06-27	FR	62	organic
17	U0017	2024-02-24	CA	32	ads
18	U0018	2024-12-26	JP	27	ads
19	U0019	2024-09-25	FR	39	social
20	U0020	2024-07-26	JP	28	ads
21	U0021	2024-09-07	FR	65	organic
22	U0022	2024-01-03	UK	49	organic
23	U0023	2024-06-30	JP	54	social
24	U0024	2024-08-12	FR	42	social
25	U0025	2024-05-20	RU	27	social
26	U0026	2024-07-05	JP	54	organic
27	U0027	2024-07-01	US	48	organic
28	U0028	2024-11-11	RU	46	ads
29	U0029	2024-01-12	RU	47	social
30	U0030	2024-07-02	JP	32	organic
31	U0031	2024-09-07	DE	63	referral
32	U0032	2024-11-17	RU	52	referral
33	U0033	2024-02-25	JP	63	referral
34	U0034	2024-04-27	IN	21	social
35	U0035	2024-01-07	UK	28	organic
36	U0036	2024-06-07	FR	28	organic
37	U0037	2024-12-16	UK	32	ads
38	U0038	2024-08-22	FR	21	ads
39	U0039	2024-11-24	UK	44	organic
40	U0040	2024-01-09	US	40	referral
41	U0041	2024-03-02	AU	40	social
42	U0042	2024-01-28	CA	36	organic
43	U0043	2024-01-31	RU	53	ads
44	U0044	2024-04-18	BR	38	organic
45	U0045	2024-04-19	FR	51	organic
46	U0046	2024-04-02	DE	31	referral
47	U0047	2024-09-12	AU	35	referral
48	U0048	2024-03-08	FR	52	ads
49	U0049	2024-09-19	AU	29	ads
50	U0050	2024-08-30	IN	26	organic
